,t,mean,amp,var,both
876,18.259120439780112,-11218494316895.95,,-11307465734258.521,
877,18.27996418457438,-11238370917675.912,,-11324700083070.438,
878,18.30080792936865,-11306827474631.14,,-11389656889018.795,
879,18.32165167416292,-11424922188467.656,,-11505400516618.55,
880,18.34249541895719,-11577635950049.982,,-11654536636491.922,
881,18.36333916375146,-11751008373939.621,,-11823281248495.766,
882,18.38418290854573,-11912487605116.416,,-11977829861423.63,
883,18.40502665334,-12037897725046.773,,-12088154431005.295,
884,18.425870398134265,-12119922471833.61,,-12141597144544.96,
885,18.446714142928535,-12141083870999.662,,-12129943846270.098,
886,18.467557887722805,-12111379178269.146,,-12070872577296.688,
887,18.488401632517075,-12053866680689.137,,-12002373463273.31,
888,18.509245377311345,-11984183234700.412,,-11944790846593.764,
889,18.530089122105615,-11903275168507.664,,-11883778031508.213,
890,18.550932866899885,-11814829757914.172,,-11817887526550.994,
891,18.57177661169415,-11718400083450.328,,-11733235175092.934,
892,18.59262035648842,-11637102056247.938,,-11656082994321.035,
893,18.613464101282695,-11599747766258.453,,-11611609493570.633,
894,18.63430784607696,-11611137556487.766,,-11609342638163.41,
895,18.65515159087123,-11655695807971.447,,-11637603742191.22,
896,18.6759953356655,-11698746086601.963,,-11669297409510.176,
897,18.69683908045977,-11716781188988.357,,-11685337285358.756,
898,18.71768282525404,-11701592678356.064,,-11674023734812.36,
899,18.738526570048307,-11660608926826.533,,-11637419024946.9,
900,18.75937031484258,-11604716607413.389,,-11586320100933.773,
901,18.780214059636847,-11534641869165.564,,-11514758650183.393,
902,18.801057804431117,-11440500232207.947,,-11410475650489.912,
903,18.82190154922539,-11318161970462.244,,-11273332185640.87,
904,18.842745294019657,-11181417782602.408,,-11117467344005.53,
905,18.863589038813927,-11035516927978.256,,-10952272882774.55,
906,18.884432783608194,-10874819235337.889,,-10781443884281.262,
907,18.905276528402467,-10693516558271.25,,-10603134092438.598,
908,18.926120273196734,-10512828443020.05,,-10435455769122.824,
909,18.946964017991004,-10348333884217.064,,-10288454604935.385,
910,18.967807762785277,-10186407781115.22,,-10143252141125.787,
911,18.988651507579544,-10035257049061.111,,-10004642845559.48,
912,19.009495252373814,-9882431890423.732,,-9857230120309.12,
913,19.03033899716808,-9749540861561.834,,-9719817337142.496,
914,19.051182741962354,-9639040735853.87,,-9596804423845.594,
915,19.072026486756624,-9569188316269.885,,-9510911177920.861,
916,19.09287023155089,-9544564574918.732,,-9467242424786.178,
917,19.113713976345164,-9568685246598.764,,-9468628974858.47,
918,19.13455772113943,-9636359789571.293,,-9518666489436.447,
919,19.1554014659337,-9741444487467.055,,-9610623465414.627,
920,19.17624521072797,-9893711377124.344,,-9757987950048.924,
921,19.19708895552224,-10099078765848.045,,-9963199187842.89,
922,19.21793270031651,-10344481010486.824,,-10210656228797.922,
923,19.238776445110776,-10596082170803.87,,-10460519495171.443,
924,19.25962018990505,-10831544070633.81,,-10691276801790.723,
925,19.28046393469932,-11040987983001.076,,-10893669218010.559,
926,19.301307679493586,-11238539273191.021,,-11082848316621.402,
927,19.322151424287856,-11433464531139.629,,-11270084753193.682,
928,19.342995169082126,-11634142165653.85,,-11466999448680.746,
929,19.363838913876396,-11826668036585.768,,-11659336225221.078,
930,19.384682658670663,-12017628167945.865,,-11854111796324.436,
931,19.405526403464933,-12209539572151.633,,-12047053672289.266,
932,19.426370148259206,-12405358954307.316,,-12242061178395.56,
933,19.447213893053473,-12611452492080.027,,-12443471071651.13,
934,19.468057637847743,-12800069291535.662,,-12629580958885.342,
935,19.488901382642013,-12951555213192.002,,-12782055511989.002,
936,19.509745127436283,-13052953918989.283,,-12886079395468.846,
937,19.530588872230553,-13114541466329.46,,-12949943247489.371,
938,19.55143261702482,-13134363580969.818,,-12973771715626.727,
939,19.572276361819092,-13121800674677.229,,-12968144680565.014,
940,19.59312010661336,-13059207178173.29,,-12917012845129.566,
941,19.61396385140763,-12934300888628.04,,-12813165789511.76,
942,19.634807596201902,-12750486096240.207,,-12654475125287.63,
943,19.65565134099617,-12511839895188.828,,-12443179060408.264,
944,19.67649508579044,-12244604968831.643,,-12199295195418.639,
945,19.697338830584705,-11981278876227.648,,-11955360140831.723,
946,19.71818257537898,-11742297628207.883,,-11727932513888.977,
947,19.73902632017325,-11541453587508.174,,-11540106064905.129,
948,19.759870064967515,-11368862084074.875,,-11386776833605.83,
949,19.78071380976179,-11237422925409.328,,-11276547543646.725,
950,19.801557554556055,-11131890927686.914,,-11197137223015.547,
951,19.822401299350325,-11054669138860.36,,-11150978052516.209,
952,19.84324504414459,-11000228451920.39,,-11126887670204.266,
953,19.864088788938865,-10943721047700.959,,-11096776063768.021,
954,19.884932533733135,-10857006831972.348,,-11036977090668.064,
955,19.9057762785274,-10726907100466.361,,-10935765450882.738,
956,19.926620023321675,-10537285730641.06,,-10776256749293.553,
957,19.94746376811594,-10310365365224.498,,-10576213607570.05,
958,19.96830751291021,-10076855695218.424,,-10363991462749.002,
959,19.98915125770448,-9879138474289.203,,-10183896095793.229,
960,20.00999500249875,-9740383671806.69,,-10063569531591.05,
961,20.03083874729302,-9674607300420.035,,-10012321470355.96,
962,20.051682492087288,-9675333829825.996,,-10016724059526.725,
963,20.07252623688156,-9742114771582.3,,-10073591509764.766,
964,20.09336998167583,-9854680901400.438,,-10176934898093.441,
965,20.114213726470098,-10008902683380.555,,-10322443845845.12,
966,20.135057471264368,-10199417321609.707,,-10506594568310.094,
967,20.155901216058638,-10420028230096.21,,-10716304501309.662,
968,20.176744960852908,-10655213039854.947,,-10934796159628.816,
969,20.197588705647178,-10888275267400.477,,-11150342639326.623,
970,20.218432450441448,-11088394442756.088,,-11336771287883.094,
971,20.239276195235718,-11267127998496.83,,-11508531914310.336,
972,20.260119940029984,-11428495499806.197,,-11667500665987.145,
973,20.280963684824254,-11575457978349.307,,-11812395268522.732,
974,20.301807429618524,-11732024138215.664,,-11968750242500.602,
975,20.322651174412794,-11903889920501.58,,-12141260068490.008,
976,20.343494919207064,-12078993539256.064,,-12323842848158.984,
977,20.364338664001334,-12241701941608.35,,-12499024629304.17,
978,20.385182408795604,-12362197183532.502,,-12639465052667.867,
979,20.40602615358987,-12427414810492.86,,-12728955076841.654,
980,20.42686989838414,-12443385240018.586,,-12771843588704.791,
981,20.447713643178414,-12410105904700.05,,-12765425887212.645,
982,20.46855738797268,-12358735459427.514,,-12727383134891.314,
983,20.48940113276695,-12305858087283.55,,-12667197742567.896,
984,20.51024487756122,-12283244675287.328,,-12613868226528.715,
985,20.53108862235549,-12289721204027.697,,-12574621011523.982,
986,20.55193236714976,-12308929089664.979,,-12544364035426.164,
987,20.572776111944027,-12319649831939.25,,-12511309411267.07,
988,20.5936198567383,-12286706351847.701,,-12445157528773.299,
989,20.614463601532567,-12188880149130.354,,-12323726703466.121,
990,20.635307346326837,-12035943783616.422,,-12158281699543.754,
991,20.656151091121107,-11850620923286.178,,-11975276870890.574,
992,20.676994835915377,-11664851999289.514,,-11801981519299.486,
993,20.697838580709647,-11516717878566.443,,-11672617889875.637,
994,20.718682325503913,-11408841550502.447,,-11584815909124.197,
995,20.739526070298187,-11345354595416.182,,-11539290043721.84,
996,20.760369815092453,-11323411039633.578,,-11532920656436.879,
997,20.781213559886723,-11327207715617.727,,-11545512075705.387,
998,20.802057304680993,-11328604481594.33,,-11558429884894.957,
999,20.822901049475263,-11306045698371.58,,-11557981109479.484,
1000,20.843744794269533,-11259366623825.771,,-11541687252681.27,
1001,20.8645885390638,-11203250369231.549,,-11514692376283.043,
1002,20.885432283858073,-11144174128953.973,,-11466458839414.783,
1003,20.906276028652343,-11071475165160.521,,-11373025303102.602,
1004,20.92711977344661,-10995482167152.436,,-11248461961557.143,
1005,20.94796351824088,-10936015585508.252,,-11126092788056.857,
1006,20.96880726303515,-10901285758787.47,,-11023583205637.91,
1007,20.98965100782942,-10885148209906.873,,-10939644133915.684,
1008,21.01049475262369,-10888498536956.832,,-10872982239099.518,
1009,21.03133849741796,-10898772835207.656,,-10813964339326.516,
1010,21.05218224221223,-10903294947071.438,,-10754352448974.91,
1011,21.073025987006496,-10899163414297.41,,-10696624442524.812,
